id_establecimiento,codigo_localidad,demanda_total,M_t,s_j,delta_j
111001018058,18,1914.0,56001.05263157895,0.03417792898629725,-0.3804429209662157
111001018201,06,2628.0,33714.73684210527,0.07794810952574228,0.4440203373856799
111001018252,04,807.0,51416.84210526316,0.015695246284240266,-1.1586651233656435
111001018309,04,954.0,51416.84210526316,0.018554231666871392,-0.9913251201873057
111001018325,04,1165.0,51416.84210526316,0.022657945379355525,-0.7915124256357915
111001018333,04,1628.0,51416.84210526316,0.031662776890635874,-0.4568812450731068
111001018341,04,1239.0,51416.84210526316,0.024097162510748064,-0.7299289100064499
111001018368,04,1931.0,51416.84210526316,0.03755578757728371,-0.28619550920707804
111001018384,04,1197.0,51416.84210526316,0.023280309544282028,-0.7644150860776193
111001019411,06,3584.0,33714.73684210527,0.10630366230603515,0.7542767318759998
111001019526,14,1751.0,12340.350877192983,0.14189223770258744,1.0430448746523737
111001020095,18,1497.0,56001.05263157895,0.026731640382699574,-0.6261751085594871
111001020168,16,2437.0,20686.315789473687,0.11780734785263584,0.8570276395031073
111001020320,19,2662.0,100641.05263157895,0.026450438766224937,-0.6367502587463054
111001020401,14,1319.3333333333333,12340.350877192983,0.10691214102928631,0.7599843798609229
111001020443,04,1249.0,51416.84210526316,0.024291651312287596,-0.721890281510015
111001024643,05,1328.0,67218.94736842105,0.01975633436687651,-0.9285488380662796
111001024660,08,2373.0,118926.74641148325,0.019953459348744693,-0.9186204761848953
111001024686,04,1386.0,51416.84210526316,0.02695614789337919,-0.617811611885744
111001024732,08,6677.0,118926.74641148325,0.05614380449707894,0.1158933312372099
111001024830,12,1256.0,13104.36090225564,0.09584595611860829,0.6507192734876162
111001025020,11,3602.0,96130.62656641605,0.037469848357967385,-0.28848643965589593
111001025216,10,1454.0,68328.42105263159,0.02127957850628543,-0.8542751481863236
111001025313,14,911.0,12340.350877192983,0.07382286039237987,0.38964543962648035
111001026069,14,1569.0,12340.350877192983,0.12714387261870913,0.9332962950995545
111001026964,08,2546.0,118926.74641148325,0.021408136326128948,-0.8482519535033068
111001027251,19,2102.0,100641.05263157895,0.02088610904831135,-0.8729387062644656
111001027308,08,1357.0,118926.74641148325,0.011410385308152781,-1.4774990727857893
111001027324,04,1448.0,51416.84210526316,0.02816197846292429,-0.5740502186899308
111001027332,18,2172.0,56001.05263157895,0.03878498524463826,-0.253989811925289
111001027383,18,2155.0,56001.05263157895,0.03848141952218943,-0.2618474904412671
111001027391,08,6074.0,118926.74641148325,0.05107345641983787,0.021241912985034972
111001028258,12,1285.0,13104.36090225564,0.09805895988249334,0.6735459237887924
111001028266,19,891.0,100641.05263157895,0.008853246033323223,-1.7312388302305526
111001029912,12,1221.0,13104.36090225564,0.09317508950702286,0.6224574005701768
111001029955,01,2398.0,30556.84210526316,0.07847669571807503,0.4507787054522052
111001030015,18,4793.0,56001.05263157895,0.08558767692336611,0.537518306180516
111001030066,04,3141.0,51416.84210526316,0.06108893256356713,0.20030770790305397
111001030821,19,1559.0,100641.05263157895,0.015490696482548715,-1.1717833886435858
111001030830,19,2090.0,100641.05263157895,0.020766873411498916,-0.8786639127425055
111001030848,19,2608.0,100641.05263157895,0.025913878400568986,-0.6572443346548185
111001030856,14,1552.0,12340.350877192983,0.1257662780779073,0.9224022431096857
111001030864,04,1098.0,51416.84210526316,0.021354870409040657,-0.8507431695661167
111001030872,05,2070.0,67218.94736842105,0.03079488865921263,-0.48467428184324435
111001032255,12,1628.0,13104.36090225564,0.12423345267603048,0.9101394730219576
111001032280,04,1540.0,51416.84210526316,0.02995127543708799,-0.5124510962279176
111001032395,18,662.0,56001.05263157895,0.011821206368301349,-1.4421279370421067
111001032409,03,1331.0,10369.473684210527,0.12835752715460358,0.9427965457058729
111001032433,04,987.0,51416.84210526316,0.019196044711951847,-0.9573187522021107
111001032450,06,1936.0,33714.73684210527,0.05742296044209934,0.1384212256177011
111001033898,08,2213.0,118926.74641148325,0.0186080933581003,-0.9884263925696093
111001033901,02,1849.0,3673.684210526316,0.5033094555873926,2.3091821953570926
111001033979,10,2118.0,68328.42105263159,0.030997350258811927,-0.4781212801184367
111001034002,10,463.0,68328.42105263159,0.006776096869608084,-1.998621752193554
111001034011,04,927.0,51416.84210526316,0.018029111902714653,-1.0200352260697376
111001034045,08,1402.0,118926.74641148325,0.011788769493021517,-1.4448756650261232
111001034134,18,927.0,56001.05263157895,0.01655326027706246,-1.10543992741326
111001034240,19,2780.0,100641.05263157895,0.02762292252821387,-0.5933770510166796
111001034665,02,634.0,3673.684210526316,0.17257879656160457,1.2388309184071933
111001034754,19,1644.0,100641.05263157895,0.016335282243303453,-1.1186956820852374
111001035521,10,822.0,68328.42105263159,0.012030133103278284,-1.4246084112236086
111001035530,04,4477.0,51416.84210526316,0.08707263644924866,0.5547196666053731
111001035572,19,2952.0,100641.05263157895,0.029331966655858757,-0.5333450719809991
111001035602,04,2451.0,51416.84210526316,0.04766920525733939,-0.04773740810747995
111001036544,03,1450.0,10369.473684210527,0.1398335194396508,1.0284295627253812
111001036561,19,1099.0,100641.05263157895,0.010919997071405412,-1.5214273032977403
111001036625,10,1172.0,68328.42105263159,0.017152452551146165,-1.0698818361428306
111001036765,18,2268.0,56001.05263157895,0.04049923873611398,-0.21073982813147252
111001036781,19,4029.0,100641.05263157895,0.04003336505977471,-0.2223097725100147
