COD_UPZ_GRUPO,n_hogares_muestra,poblacion_expandida,tasa_pobreza_monetaria,tasa_pobreza_extrema,tasa_ipm,ingreso_percapita_promedio,capacidad_pago_promedio,tamano_hogar_promedio,gasto_educ_promedio,tasa_deficit_cuantitativo,tasa_deficit_cualitativo,tasa_deficit_habitacional,pct_estrato_1,pct_estrato_2,pct_estrato_3,pct_estrato_4,pct_estrato_5,pct_estrato_6
054,2741,120852.0000177,0.4994434554385517,0.18920952651136094,0.08836474020484515,604853.1814262352,0.5412289176672314,3.7974271980032235,130604.77324336329,0.003270561798250017,0.16223934597630463,0.16550990777455463,0.08400144191749556,0.8319516782450803,0.08404687983742401,0.0,0.0,0.0
055,2431,75394.00000069999,0.6239134951436888,0.23144132823617256,0.12933088404129597,475879.37762866315,0.5022315466330005,3.685937960754435,124946.7502659414,0.017805050418966184,0.20611160497593606,0.22391665539490224,0.29115658403183536,0.7069788979335905,0.001864518034574301,0.0,0.0,0.0
057,2440,131329.99999830002,0.5375758554741024,0.17050022665339107,0.09977070666618143,546453.4732746364,0.5369657626400125,3.6829561057356353,131619.82020471324,0.009416473534729368,0.17140381560946763,0.180820289144197,0.21329619519883194,0.7829697168463492,0.0033905540356793107,0.0,0.0,0.0
058,2461,98789.9999997,0.5463223495319759,0.14300688904284747,0.08087932796866347,538295.1485405599,0.6418885111488265,3.7876063290377195,85874.88811383818,0.02371073793204893,0.1587196053178218,0.1824303432498707,0.43168315555248016,0.5647227497800326,0.00359409466748738,0.0,0.0,0.0
062,2412,41091.0000058,0.6075462272779011,0.2515357792713999,0.08801693986005454,496094.149913777,0.5782026670182382,3.417757078907231,142088.0763667548,0.02220447816483449,0.23966892606677664,0.2618734042316112,0.0,0.9782259668230582,0.021354195548323126,0.0,0.0,0.0
065,2418,83274.9999976,0.28126930597868566,0.07590570125706604,0.030126392984356692,993465.718329111,0.25161721027563955,3.647526327724456,280370.2631958299,0.006550303104361702,0.08904246383084602,0.09559276693520771,0.01368582692203958,0.5267731856807476,0.4575024442953829,0.0020385431018299914,0.0,0.0
066,2882,71305.9999963,0.5323890475453656,0.18730343172934988,0.09234022598577481,541606.1792803309,0.5329856299213537,4.082155660577006,129420.60229855483,0.012815071397181384,0.20802318101239284,0.22083825240957425,0.16679025000304498,0.832027275280881,0.0007493787227270173,0.0,0.0,0.0
067,2402,161831.0000128,0.7038631757592213,0.2920063706370369,0.1283344089448704,390100.4363498642,0.6999095390854729,3.793805295915117,94504.09039926343,0.049540423591066494,0.26740798307417724,0.3169484066652437,0.7291873913191316,0.2533851853437022,0.00627196421649572,0.0,0.0,0.0
069,2366,164520.000002,0.5154591657334616,0.1613228629192643,0.11203845497067787,615523.9462379344,0.5271605075896285,3.809864504438854,155800.1338993075,0.020936730408814285,0.19357075375706823,0.2145074841658825,0.4453212904693007,0.4547796296212645,0.09989907990943472,0.0,0.0,0.0
070,3157,101327.0000007,0.6408927384719904,0.2513889336003634,0.1286378396854733,413543.7933345092,0.711122887595628,4.2963750196718795,95023.51351292203,0.028253485759770075,0.25092907414632176,0.27918255990609187,0.9259040015420555,0.06354110780498308,0.0007786428000380446,0.0,0.0,0.0
